EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:55"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,Mortality

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
31,151.7725,163.5996,102.8904,25.64614,25.93478,11.08359,20.25088,6.776041,5.44026,1.941387,1.840595,0.8269939,1.828508,0.4592497,1.025512,1.07804,0.3249063,0.9768903,0.1179252,0.06878996,0,0
32,151.8467,163.777,103.4394,25.41823,25.52479,10.93733,20.22907,6.667767,5.438655,1.94239,1.765191,0.8350153,1.747407,0.4586748,1.037556,1.054385,0.3246574,0.9771388,0.1177424,0.06838451,0,0
33,151.9057,163.9591,103.7708,25.32332,25.2919,10.85577,20.21449,6.622606,5.437871,1.943785,1.698277,0.843723,1.675902,0.4585798,1.047843,1.030439,0.3247468,0.977149,0.1178684,0.06811769,0,0
34,151.9509,164.1178,103.9541,25.33424,25.18932,10.83258,20.21212,6.631229,5.437733,1.945562,1.640922,0.852586,1.615726,0.4588588,1.05195,1.00739,0.3250287,0.9768781,0.1181016,0.06791239,0,0
35,151.9844,164.2443,104.0388,25.4385,25.19031,10.86334,20.22505,6.686848,5.438089,1.947712,1.592857,0.8614197,1.567264,0.4595352,1.047579,0.9860559,0.3253914,0.9763193,0.1182681,0.06769474,0,0
36,152.0077,164.3385,104.0576,25.62799,25.27979,10.94393,20.2546,6.784524,5.438812,1.950222,1.554243,0.8700138,1.530186,0.460619,1.039893,0.9672378,0.3257435,0.975494,0.1182365,0.06740285,0,0
37,152.0153,157.4542,105.5128,26.46994,25.93275,11.16514,20.75104,6.983601,5.440223,1.953125,1.567655,0.8176492,1.508246,0.4589055,1.042537,0.9522856,0.2673849,0.880118,0.11792,0.06686614,0,0
38,151.9964,159.7979,105.3313,26.88106,26.02035,11.39579,20.86413,7.204633,5.442832,1.956833,1.55908,0.8303156,1.499191,0.4622827,1.041507,0.9410121,0.2678863,0.8792341,0.117248,0.06629411,0,0
39,151.9593,161.0216,104.7007,27.17535,26.23323,11.61778,20.82996,7.451052,5.44592,1.96101,1.562875,0.8412948,1.506076,0.4658611,1.034375,0.9344229,0.2684725,0.8782972,0.1160456,0.06542784,0,0
40,151.9166,161.6098,104.0406,27.54264,26.55705,11.86247,20.80903,7.719974,5.449017,1.965604,1.579033,0.851308,1.528309,0.469652,1.065678,0.9326419,0.2691211,0.8772625,0.1143693,0.06429207,0,0
41,151.8736,161.8516,103.4804,27.95751,26.93424,12.12119,20.82478,7.997016,5.451902,1.970508,1.605134,0.8604605,1.56202,0.4736165,1.09283,0.9353189,0.2697558,0.8762074,0.1122828,0.06293035,0,0
42,151.8329,161.9135,103.0436,28.38053,27.32445,12.38131,20.86929,8.268261,5.454495,1.975604,1.638742,0.8689266,1.603986,0.4777039,1.092127,0.9419495,0.2703312,0.8751885,0.1098736,0.06139991,0,0
43,151.7954,161.8881,102.7165,28.77944,27.70049,12.6311,20.92927,8.521759,5.456787,1.980784,1.665224,0.878862,1.636376,0.4863203,1.088936,0.9904304,0.268847,0.8737205,0.1072309,0.05975619,0,0
44,151.7614,161.8248,102.4748,29.15344,28.08836,12.83194,21.00113,8.735971,5.4588,1.984585,1.720255,0.8869556,1.690918,0.4910256,1.087669,1.002751,0.2693133,0.8721868,0.1044323,0.05804482,0,0
45,151.731,161.7495,102.3003,29.43279,28.40241,13.00556,21.06106,8.911496,5.460572,1.988228,1.780199,0.8939567,1.747036,0.4957017,1.084162,1.015594,0.2696487,0.8708728,0.1016483,0.05637116,0,0
46,151.7045,161.6772,102.1823,29.61075,28.63278,13.141,21.10457,9.042629,5.462146,1.991705,1.842411,0.9001885,1.803203,0.5003317,1.080137,1.028743,0.2699213,0.8699101,0.09886266,0.05471515,0,0
47,151.6825,161.616,102.1122,29.67819,28.76847,13.23064,21.12741,9.125068,5.463557,1.995001,1.904244,0.9058768,1.857667,0.5048927,1.076027,1.042743,0.2701337,0.8693935,0.09607546,0.05306756,0,0
48,151.6654,161.5702,102.084,29.63234,28.80237,13.27035,21.12726,9.156719,5.464838,1.998087,1.963871,0.9111694,1.908734,0.5093602,1.071801,1.056795,0.2703477,0.8693493,0.09329572,0.05142583,0,0
49,151.6442,154.3748,103.4999,29.91414,29.16089,13.38681,21.55267,9.362089,5.466388,2.001001,1.998831,0.9260712,1.968799,0.4972731,1.078289,1.071525,0.2910813,0.7245334,0.09053721,0.04969353,0,0
