EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:45:07"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,Biomass

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
25,3.085742,14.76032,4.264419,1.493679,1.410537,3.272121,5.883444,1.926926,5.765534,30.8627,3.021318,5.891587,11.27551,7.533603,0.0002193805,0.157365,0.8625494,0.9943573,3.54E-07,0.001306117,3366.805,5254.295
26,3.084103,15.95791,4.556058,1.583843,1.488885,3.495017,6.597249,1.986094,5.815384,30.99197,3.028311,6.045186,11.40382,7.570859,0.0002571241,0.1574619,0.8838882,1.005281,3.54E-07,0.001306117,3374.765,5291.077
27,3.080038,16.54966,4.780402,1.70844,1.541577,3.692261,7.13316,2.097208,5.872159,31.13382,3.058672,6.270295,11.61786,7.659212,0.0003521306,0.1576453,0.9089905,1.016783,3.54E-07,0.001306117,3383.964,5332.464
28,3.075193,16.81476,4.931426,1.839348,1.590298,3.879879,7.512238,2.258497,5.935867,31.29089,3.075883,6.544559,11.85214,7.795983,0.000319521,0.1579707,0.9365168,1.028362,3.54E-07,0.001306117,3393.701,5376.091
29,3.070458,16.91404,5.023605,1.96268,1.643343,4.054892,7.776314,2.459944,6.005689,31.46288,3.058408,6.840855,12.06219,7.974675,0.0003357611,0.1584901,0.9657184,1.039799,3.54E-07,0.001306117,3403.596,5420.602
30,3.066244,16.93476,5.074878,2.070852,1.698284,4.211284,7.959577,2.688158,6.080518,31.64843,3.003369,7.135561,12.23073,8.187707,0.0003538829,0.159285,0.9960855,1.050984,3.54E-07,0.001306117,3413.452,5465.253
31,3.062695,16.92207,5.100421,2.160373,1.749526,4.344794,8.086408,2.928531,6.159227,31.84554,2.884212,7.447024,12.3487,8.438975,0.0003686,0.1654995,1.022195,1.061917,3.54E-07,0.001306117,3423.173,5509.651
32,3.059805,16.89802,5.111125,2.23198,1.794397,4.45378,8.175051,3.166472,6.240796,32.05092,2.75625,7.722865,12.42582,8.727521,0.0003794724,0.1723658,1.048212,1.072675,3.54E-07,0.001306117,3432.716,5553.597
33,3.057526,16.87299,5.114354,2.284729,1.830114,4.536567,8.235188,3.38875,6.324358,32.26239,2.631637,7.956084,12.47321,9.049938,0.0003868303,0.1798556,1.074238,1.083516,3.54E-07,0.001306117,3442.063,5597.002
34,3.055789,16.85123,5.114697,2.319592,1.856151,4.593247,8.273888,3.584208,6.4092,32.47802,2.519599,8.144362,12.50121,9.403918,0.0003910061,0.1879315,1.100323,1.09476,3.54E-07,0.001306117,3451.207,5639.83
35,3.054519,16.8341,5.11483,2.338085,1.873033,4.624716,8.295948,3.744128,6.494756,32.69602,2.42725,8.287276,12.52042,9.785717,0.0003927886,0.1965755,1.126444,1.106741,3.54E-07,0.001306117,3460.143,5682.074
36,3.053649,16.82167,5.116207,2.341839,1.881644,4.632387,8.304567,3.862381,6.580578,32.91486,2.358481,8.386716,12.5409,10.19024,0.0003924248,0.2057516,1.15256,1.119787,3.54E-07,0.001306117,3468.868,5723.739
37,3.053615,16.17182,5.050931,2.280484,1.846709,4.577819,8.120808,3.899977,6.665806,33.13234,2.299018,8.46286,12.53546,10.59904,0.0003862652,0.2152061,1.183608,1.142819,3.2E-07,0.001181002,3476.396,5762.248
38,3.054614,15.81999,4.983011,2.203234,1.81572,4.480516,7.91239,3.866498,6.748902,33.3442,2.251084,8.464293,12.49711,10.99535,0.000377013,0.2248815,1.213676,1.167497,3.2E-07,0.001181002,3482.891,5797.742
39,3.056135,15.63825,4.931099,2.130749,1.787821,4.371173,7.746424,3.779123,6.829159,33.54817,2.225946,8.412159,12.45283,11.37513,0.0003709075,0.2347235,1.242648,1.193982,3.2E-07,0.001181002,3488.754,5831.272
40,3.057849,15.55129,4.898082,2.064105,1.761368,4.260302,7.623379,3.65198,6.906442,33.74292,2.227052,8.321042,12.41521,11.73418,0.0003598052,0.2447696,1.270705,1.222508,3.2E-07,0.001181002,3494.219,5863.504
41,3.05957,15.51546,4.881173,2.002863,1.736,4.152935,7.532144,3.498148,6.980903,33.92789,2.252096,8.203229,12.38745,12.06851,0.0003516827,0.2550577,1.297974,1.253222,3.2E-07,0.001181002,3499.411,5894.842
42,3.061204,15.50603,4.876204,1.946918,1.711913,4.051948,7.462595,3.329453,7.052813,34.10311,2.296958,8.067882,12.36722,12.37479,0.0003439651,0.2655949,1.324496,1.286202,3.2E-07,0.001181002,3504.398,5925.521
43,3.062708,15.50934,4.879277,1.896519,1.689457,3.959203,7.407843,3.156059,7.122472,34.269,2.375264,7.903507,12.46548,12.53472,0.0003374025,0.265603,1.360199,1.322269,3.2E-07,0.001181002,3509.217,5955.68
44,3.064073,15.51819,4.887377,1.851253,1.667991,3.879424,7.362392,2.987605,7.190166,34.42937,2.45469,7.740643,12.54699,12.66006,0.0003313507,0.2657156,1.39536,1.36174,3.2E-07,0.001181002,3513.884,5985.403
45,3.065278,15.52849,4.898077,1.812896,1.648798,3.811907,7.325893,2.830397,7.256147,34.58485,2.528121,7.587412,12.60826,12.75246,0.0003264601,0.2660687,1.429352,1.404515,3.2E-07,0.001181002,3518.413,6014.733
46,3.066308,15.53808,4.909583,1.782467,1.632624,3.756852,7.298228,2.689017,7.320625,34.73602,2.590549,7.449068,12.64651,12.81472,0.0003228401,0.2667112,1.461895,1.450256,3.2E-07,0.001181002,3522.813,6043.69
47,3.067145,15.54579,4.920601,1.760724,1.620001,3.71474,7.27964,2.566665,7.383768,34.88346,2.638759,7.328921,12.66039,12.8505,0.0003204798,0.2674118,1.493197,1.498404,3.2E-07,0.001181002,3527.094,6072.285
