EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:36"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,Biomass

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
25,3.085742,14.76031,4.26442,1.493679,1.410537,3.272121,5.883444,1.926926,5.765535,30.86271,3.021317,5.891585,11.27551,7.533603,0.0002193804,0.157365,0.8625497,0.9943572,3.54E-07,0.001306117,3366.805,5254.296
26,3.084103,15.95791,4.556058,1.583843,1.488885,3.495017,6.597249,1.986094,5.815385,30.99197,3.028311,6.045185,11.40382,7.570858,0.0002571241,0.1574619,0.8838886,1.005281,3.54E-07,0.001306117,3374.765,5291.078
27,3.080038,16.54966,4.780402,1.70844,1.541577,3.692261,7.13316,2.097208,5.87216,31.13382,3.058672,6.270293,11.61786,7.659211,0.0003521306,0.1576453,0.9089909,1.016783,3.54E-07,0.001306117,3383.963,5332.465
28,3.075193,16.81476,4.931426,1.839348,1.590298,3.879879,7.512238,2.258497,5.935868,31.29089,3.075883,6.544558,11.85214,7.795982,0.0003195209,0.1579706,0.9365173,1.028362,3.54E-07,0.001306117,3393.701,5376.091
29,3.070458,16.91404,5.023605,1.96268,1.643343,4.054892,7.776314,2.459944,6.00569,31.46289,3.058409,6.840853,12.06219,7.974674,0.000335761,0.1584901,0.9657189,1.039799,3.54E-07,0.001306117,3403.596,5420.603
30,3.066244,16.93476,5.074878,2.070851,1.698284,4.211283,7.959576,2.688158,6.080518,31.64844,3.003369,7.135559,12.23073,8.187707,0.0003538828,0.159285,0.9960859,1.050984,3.54E-07,0.001306117,3413.452,5465.253
31,3.062695,16.92207,5.100421,2.160372,1.749525,4.344794,8.086408,2.928531,6.159227,31.84555,2.884212,7.447022,12.3487,8.438974,0.0003685999,0.1654995,1.022196,1.061918,3.54E-07,0.001306117,3423.173,5509.651
32,3.059805,16.89802,5.111125,2.231979,1.794396,4.45378,8.175051,3.166471,6.240797,32.05092,2.756251,7.722863,12.42582,8.72752,0.0003794724,0.1723658,1.048212,1.072675,3.54E-07,0.001306117,3432.716,5553.598
33,3.057526,16.87299,5.114354,2.284729,1.830114,4.536566,8.235188,3.388749,6.324358,32.2624,2.631638,7.956082,12.47322,9.049937,0.0003868303,0.1798556,1.074238,1.083517,3.54E-07,0.001306117,3442.063,5597.002
34,3.055789,16.85123,5.114697,2.319591,1.856151,4.593247,8.273888,3.584207,6.409201,32.47802,2.5196,8.144361,12.50122,9.403917,0.0003910061,0.1879315,1.100323,1.09476,3.54E-07,0.001306117,3451.207,5639.831
35,3.054519,16.8341,5.11483,2.338084,1.873032,4.624715,8.295948,3.744127,6.494756,32.69602,2.427251,8.287274,12.52042,9.785716,0.0003927886,0.1965755,1.126445,1.106741,3.54E-07,0.001306117,3460.142,5682.074
36,3.053649,16.82167,5.116207,2.341838,1.881644,4.632387,8.304567,3.86238,6.580579,32.91486,2.358482,8.386714,12.5409,10.19024,0.0003924248,0.2057516,1.15256,1.119788,3.54E-07,0.001306117,3468.868,5723.739
37,3.053615,16.17182,5.050931,2.280483,1.846708,4.577819,8.120808,3.899976,6.665807,33.13234,2.299019,8.462859,12.53546,10.59904,0.0003862652,0.2152061,1.183608,1.142819,3.2E-07,0.001181002,3476.396,5762.249
38,3.054614,15.81999,4.983011,2.203234,1.815721,4.480515,7.91239,3.866498,6.748903,33.3442,2.251085,8.464291,12.49712,10.99535,0.000377013,0.2248815,1.213676,1.167498,3.2E-07,0.001181002,3482.891,5797.742
39,3.056135,15.63825,4.931098,2.130749,1.787821,4.371173,7.746425,3.779122,6.82916,33.54817,2.225947,8.412157,12.45283,11.37512,0.0003709075,0.2347236,1.242648,1.193982,3.2E-07,0.001181002,3488.754,5831.272
40,3.057849,15.55129,4.898081,2.064105,1.761368,4.260301,7.62338,3.651979,6.906443,33.74292,2.227053,8.321041,12.41521,11.73418,0.0003598052,0.2447696,1.270705,1.222508,3.2E-07,0.001181002,3494.218,5863.505
41,3.05957,15.51546,4.881173,2.002863,1.736,4.152934,7.532144,3.498148,6.980904,33.92789,2.252096,8.203228,12.38745,12.06851,0.0003516826,0.2550577,1.297974,1.253222,3.2E-07,0.001181002,3499.411,5894.842
42,3.061204,15.50603,4.876204,1.946918,1.711913,4.051948,7.462595,3.329453,7.052814,34.10311,2.296958,8.067881,12.36722,12.37479,0.000343965,0.2655949,1.324496,1.286203,3.2E-07,0.001181002,3504.398,5925.522
43,3.062708,15.50934,4.879277,1.896519,1.689457,3.959203,7.407843,3.156059,7.122473,34.269,2.375264,7.903506,12.46548,12.53472,0.0003374025,0.2656029,1.360199,1.322269,3.2E-07,0.001181002,3509.216,5955.68
44,3.064073,15.51819,4.887377,1.851253,1.667991,3.879425,7.362392,2.987605,7.190167,34.42937,2.454689,7.740642,12.54699,12.66006,0.0003313507,0.2657156,1.39536,1.36174,3.2E-07,0.001181002,3513.884,5985.404
45,3.065278,15.52849,4.898077,1.812896,1.648798,3.811908,7.325894,2.830397,7.256148,34.58485,2.528121,7.587412,12.60826,12.75246,0.0003264601,0.2660687,1.429352,1.404516,3.2E-07,0.001181002,3518.413,6014.733
46,3.066308,15.53808,4.909582,1.782467,1.632623,3.756852,7.298228,2.689017,7.320626,34.73602,2.590549,7.449067,12.64651,12.81472,0.0003228402,0.2667112,1.461895,1.450257,3.2E-07,0.001181002,3522.813,6043.69
47,3.067145,15.54579,4.9206,1.760724,1.62,3.71474,7.27964,2.566665,7.383769,34.88346,2.638759,7.32892,12.66039,12.8505,0.0003204799,0.2674118,1.493197,1.498404,3.2E-07,0.001181002,3527.094,6072.285
48,3.067773,15.55104,4.930223,1.748167,1.61135,3.685968,7.270443,2.46544,7.445711,35.02777,2.670395,7.229386,12.64964,12.86425,0.0003193912,0.2680287,1.523531,1.548262,3.2E-07,0.001181002,3531.262,6100.521
49,3.06874,14.93641,4.872321,1.711923,1.57711,3.62959,7.112272,2.329498,7.506043,35.16869,2.681527,7.132644,12.56895,12.86018,0.0003163909,0.2681434,1.55052,1.616057,2.93E-07,0.001082155,3534.408,6125.948
50,3.070287,14.60002,4.807368,1.674482,1.557503,3.572399,6.94365,2.209661,7.563592,35.30401,2.653954,7.030496,12.40403,12.81855,0.0003114607,0.2679332,1.57673,1.68247,2.93E-07,0.001082155,3536.716,6148.653
51,3.07191,14.42171,4.753341,1.653123,1.548749,3.532324,6.825522,2.110623,7.617932,35.43245,2.604595,6.933669,12.19148,12.74996,0.0003055673,0.2675461,1.602334,1.746794,2.93E-07,0.001082155,3538.569,6169.623
52,3.073298,14.33034,4.713182,1.647953,1.5479,3.511923,6.757981,2.034206,7.669138,35.55357,2.542273,6.847932,11.95338,12.66392,0.0003090617,0.2671354,1.627767,1.808618,2.93E-07,0.001082155,3540.186,6189.48
