EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:42"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,FIB

TimeStep,Value
150,0.2631494
151,0.2735299
152,0.2834549
153,0.2925511
154,0.3006125
155,0.3075992
156,0.3134409
157,0.3483686
158,0.3373999
159,0.3184277
160,0.2948223
161,0.268982
162,0.2424906
163,0.2160915
164,0.1905952
165,0.1662842
166,0.1432574
167,0.1215172
168,0.1010346
169,0.08797809
170,0.07216461
171,0.06053807
172,0.05188121
173,0.04507854
174,0.03949609
175,0.03274649
176,0.0270404
177,0.02215006
178,0.01790858
179,0.01419392
180,0.01091701
181,0.09569147
182,0.09025927
183,0.08624485
184,0.08325401
185,0.08097452
186,0.07916571
187,0.07818215
188,0.07762072
189,0.07720943
190,0.07676866
191,0.07609138
192,0.0752649
193,0.0703412
194,0.07220212
195,0.07461657
196,0.07740217
197,0.08038543
198,0.08340853
199,0.08496641
200,0.08630107
201,0.08742131
202,0.08836147
203,0.08918624
204,0.08995999
205,0.1015828
206,0.094368
207,0.08567731
208,0.07650238
209,0.06754646
210,0.05930161
211,0.05707924
212,0.05664257
213,0.05793478
214,0.06084837
215,0.06520185
216,0.07082641
217,0.02799469
218,0.04082341
219,0.0566058
220,0.07436316
221,0.0931761
222,0.1122371
223,0.1312671
224,0.1493052
225,0.1659687
226,0.1810065
227,0.1942521
228,0.2056136
229,0.2927412
230,0.2970037
231,0.2982593
232,0.2969877
233,0.2935953
234,0.2884268
235,0.2817486
236,0.2738363
237,0.2649424
238,0.2553207
239,0.2452223
240,0.2348719
241,0.298964
242,0.2869471
243,0.2764603
244,0.2672739
245,0.2591282
246,0.2518281
247,0.2436762
248,0.2361159
249,0.2291209
250,0.2226727
251,0.2167463
252,0.2113373
253,0.2181105
254,0.2191595
255,0.2212486
256,0.224188
257,0.2279037
258,0.2323001
259,0.2367649
260,0.2413222
261,0.2458481
262,0.2502462
263,0.2544343
264,0.2583658
265,0.2958178
266,0.2862556
267,0.2740069
268,0.2603446
269,0.2461157
270,0.2319242
271,0.2138508
272,0.1966777
273,0.1808278
274,0.1666441
275,0.1543214
276,0.1440012
277,0.1235816
278,0.1204213
279,0.1183895
280,0.1172317
281,0.1167428
282,0.1167326
283,0.1157582
284,0.1149025
285,0.1140531
286,0.1131213
287,0.112083
288,0.1108197
289,0.1697337
290,0.174461
291,0.1816398
292,0.1898686
293,0.1981457
294,0.2058197
295,0.2116829
296,0.2161416
297,0.2190978
298,0.220563
299,0.2206336
300,0.2194741
301,0.1942405
302,0.197944
303,0.2041014
304,0.211691
305,0.2200141
306,0.228639
307,0.2346809
308,0.2408288
309,0.247217
310,0.253909
311,0.2608852
312,0.2680611
313,0.2918302
314,0.2824654
315,0.2672218
316,0.248592
317,0.2282339
318,0.2072378
319,0.1885401
320,0.1710436
321,0.1553881
322,0.1420478
323,0.1312808
324,0.1231319
325,0.1283913
326,0.1266383
327,0.1275898
328,0.1307942
329,0.1357701
330,0.1420376
331,0.1462824
332,0.1508659
333,0.1555057
334,0.1600272
335,0.1642915
336,0.1682022
337,0.1547117
338,0.1557367
339,0.1559497
340,0.1554684
341,0.1543582
342,0.1526535
343,0.1540632
344,0.1548791
345,0.1550316
346,0.1545216
347,0.1534071
348,0.1517922
349,0.08474818
350,0.08967045
351,0.0993246
352,0.1123038
353,0.127312
354,0.143283
355,0.1597639
356,0.1757476
357,0.1907941
358,0.2046166
359,0.2170414
360,0.2279708
361,0.1754176
362,0.1764401
363,0.1710546
364,0.1615289
365,0.1494949
366,0.1361204
367,0.121766
368,0.1079462
369,0.09537507
370,0.08451357
371,0.0756711
372,0.06899164
373,0.03089293
374,0.02844271
375,0.02720859
376,0.02715593
377,0.02816088
378,0.03000779
379,0.03285413
380,0.03596346
381,0.03900896
382,0.0418409
383,0.0443434
384,0.04649499
385,0.06857539
386,0.06975451
387,0.07072359
388,0.07148745
389,0.07204434
390,0.07238372
391,0.06839399
392,0.06447804
393,0.06053512
394,0.05648417
395,0.05229534
396,0.04795545
397,0.08911606
398,0.08531881
399,0.08037643
400,0.07478919
401,0.06892695
402,0.06306346
403,0.05795621
404,0.05325919
405,0.04906126
406,0.04541194
407,0.04231672
408,0.03979461
409,0.03349349
410,0.03961226
411,0.04945242
412,0.06167355
413,0.07497842
414,0.0882932
415,0.1016658
416,0.1139385
417,0.1246971
418,0.1337352
419,0.140983
420,0.1464703
421,0.1590407
422,0.1597033
423,0.1588812
424,0.156874
425,0.1539721
426,0.1504331
427,0.146449
428,0.1426953
429,0.1394714
430,0.136977
431,0.1353516
432,0.1347002
433,0.04524045
434,0.03677556
435,0.0264881
436,0.01544691
437,0.004522604
438,-0.005620935
439,-0.01246747
440,-0.01783203
441,-0.02150875
442,-0.02342873
443,-0.02367243
444,-0.02245194
445,-0.05177629
446,-0.0529578
447,-0.05420629
448,-0.05543198
449,-0.0566051
450,-0.05772021
451,-0.05941088
452,-0.06116762
453,-0.06299094
454,-0.06487581
455,-0.06679098
456,-0.06874758
457,-0.08846115
458,-0.08525647
459,-0.08191948
460,-0.07911352
461,-0.07703491
462,-0.07570351
463,-0.07517427
464,-0.07537071
465,-0.07622177
466,-0.07764205
467,-0.07954252
468,-0.08181998
469,-0.07198755
470,-0.07174019
471,-0.07021504
472,-0.067911
473,-0.06521261
474,-0.06237831
475,-0.05939192
476,-0.05597828
477,-0.0521619
478,-0.04807067
479,-0.04387658
480,-0.03975737
481,-0.01254603
482,-0.01552571
483,-0.02290001
484,-0.0329237
485,-0.0443647
486,-0.05627494
487,-0.06702033
488,-0.07664604
489,-0.0847031
490,-0.09098506
491,-0.0954814
492,-0.09830177
493,-0.01083073
494,-0.0256607
495,-0.03751048
496,-0.04682691
497,-0.05410676
498,-0.05984681
499,-0.0653822
500,-0.07006044
501,-0.07419173
502,-0.07798178
503,-0.08156075
504,-0.08499351
505,-0.08777348
506,-0.08986317
507,-0.09144396
508,-0.09275066
509,-0.09397551
510,-0.09523915
511,-0.09621307
512,-0.09732037
513,-0.09855232
514,-0.09987225
515,-0.1012032
516,-0.1025091
517,-0.104789
518,-0.107503
519,-0.1104484
520,-0.1134554
521,-0.1164078
522,-0.1192304
523,-0.1218365
524,-0.1242101
525,-0.1263215
526,-0.1281546
527,-0.12971
528,-0.1309674
529,-0.1320279
530,-0.132976
531,-0.1338344
532,-0.1346041
533,-0.1352837
534,-0.1358755
535,-0.1364248
536,-0.1369348
