EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:44:30"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,MortFleetGroup

Year,Fleet,Group,Value
1993,3,12,0.1023732
1994,1,17,0.2096243
1994,1,18,0.4755878
1994,2,13,0.09015363
1994,2,14,0.1573054
1994,3,11,0.0293207
1994,3,12,0.1023732
1995,1,17,0.2096243
1995,1,18,0.4755878
1995,2,13,0.09015363
1995,2,14,0.1573054
1995,3,11,0.0293207
1995,3,12,0.1023732
1996,1,17,0.2096243
1996,1,18,0.4755878
1996,2,13,0.09015363
1996,2,14,0.1573054
1996,3,11,0.0293207
1996,3,12,0.1023732
1997,1,17,0.2096243
1997,1,18,0.4755878
1997,2,13,0.09015363
1997,2,14,0.1573054
1997,3,11,0.0293207
1997,3,12,0.1023732
1998,1,17,0.2096243
1998,1,18,0.4755878
1998,2,13,0.09015363
1998,2,14,0.1573054
1998,3,11,0.0293207
1998,3,12,0.1023732
1999,1,17,0.2096243
1999,1,18,0.4755878
1999,2,13,0.09015363
1999,2,14,0.1573054
1999,3,11,0.0293207
1999,3,12,0.1023732
2000,1,17,0.2096243
2000,1,18,0.4755878
2000,2,13,0.09015363
2000,2,14,0.1573054
2000,3,11,0.0293207
2000,3,12,0.1023732
2001,1,17,0.2096243
2001,1,18,0.4755878
2001,2,13,0.09015363
2001,2,14,0.1573054
2001,3,11,0.0293207
2001,3,12,0.1023732
2002,1,17,0.2096243
2002,1,18,0.4755878
2002,2,13,0.09015363
2002,2,14,0.1573054
2002,3,11,0.0293207
2002,3,12,0.1023732
2003,1,17,0.2096243
2003,1,18,0.4755878
2003,2,13,0.09015363
2003,2,14,0.1573054
2003,3,11,0.0293207
2003,3,12,0.1023732
2004,1,17,0.2096243
2004,1,18,0.4755878
2004,2,13,0.09015363
2004,2,14,0.1573054
2004,3,11,0.0293207
2004,3,12,0.1023732
2005,1,17,0.2096243
2005,1,18,0.4755878
2005,2,13,0.09015363
2005,2,14,0.1573054
2005,3,11,0.0293207
2005,3,12,0.1023732
2006,1,17,0.2096243
2006,1,18,0.4755878
2006,2,13,0.09015363
2006,2,14,0.1573054
2006,3,11,0.0293207
2006,3,12,0.1023732
