EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:35:35"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,FIB

TimeStep,Value
383,0.04434346
384,0.04649502
385,0.06857542
386,0.06975454
387,0.07072359
388,0.07148751
389,0.07204437
390,0.07238378
391,0.06839399
392,0.0644781
393,0.06053516
394,0.05648417
395,0.05229534
396,0.04795554
397,0.08911606
398,0.08531886
399,0.08037646
400,0.07478922
401,0.06892698
402,0.06306349
403,0.05795624
404,0.05325922
405,0.04906129
406,0.04541191
407,0.04231675
408,0.03979464
409,0.03349356
410,0.0396123
411,0.04945248
412,0.06167358
413,0.07497848
414,0.08829326
415,0.1016658
416,0.1139385
417,0.1246971
418,0.1337353
419,0.1409831
420,0.1464704
421,0.1590407
422,0.1597034
423,0.1588813
424,0.1568741
425,0.1539722
426,0.1504333
427,0.1464491
428,0.1426953
429,0.1394715
430,0.136977
431,0.1353517
432,0.1347003
433,0.04524048
434,0.03677559
435,0.0264881
436,0.01544698
437,0.004522638
438,-0.0056209
439,-0.01246744
440,-0.01783199
441,-0.02150875
442,-0.02342866
443,-0.02367243
444,-0.02245194
445,-0.05177625
446,-0.0529578
447,-0.05420629
448,-0.05543194
449,-0.05660507
450,-0.05772013
451,-0.05941087
452,-0.06116762
453,-0.0629909
454,-0.06487581
455,-0.06679098
456,-0.06874751
457,-0.08846112
458,-0.08525644
459,-0.08191943
460,-0.07911352
461,-0.07703483
462,-0.07570346
463,-0.07517423
464,-0.07537063
465,-0.0762217
466,-0.07764205
467,-0.07954252
468,-0.08181994
469,-0.07198751
470,-0.07174014
471,-0.07021496
472,-0.06791095
473,-0.06521261
474,-0.06237822
475,-0.05939184
476,-0.05597824
477,-0.05216179
478,-0.04807059
479,-0.04387647
480,-0.03975726
481,0.04780911
482,0.04599468
483,0.04282562
484,0.03880344
485,0.03428513
486,0.02954414
487,0.0255261
488,0.02206929
489,0.01934353
490,0.01741155
491,0.01628826
492,0.01594977
493,0.01557511
494,0.01466036
495,0.01357895
496,0.01258498
497,0.01186775
498,0.01153752
499,0.01014191
500,0.00923169
501,0.008721556
502,0.008521697
503,0.008546329
504,0.008716201
505,0.01006405
506,0.01267324
507,0.01595846
508,0.01949414
509,0.02295188
510,0.02612638
511,0.03073255
512,0.03495283
513,0.03869002
514,0.04190364
515,0.04461835
516,0.04682004
517,0.0476589
518,0.04837761
519,0.04882702
520,0.0490344
521,0.04904552
522,0.04890626
523,0.04875746
524,0.04858538
525,0.04842031
526,0.04827285
527,0.04814291
528,0.04804251
529,0.04839973
530,0.04837938
531,0.04826037
532,0.04812658
533,0.04804659
534,0.04807256
535,0.04837724
536,0.04883337
537,0.0494575
538,0.05025163
539,0.05121025
540,0.05233916
541,0.0522963
542,0.05147612
543,0.05015939
544,0.04863316
545,0.04711108
546,0.04571882
547,0.04379063
548,0.04214877
549,0.04078272
550,0.03966539
551,0.03874671
552,0.03799642
553,0.03704494
554,0.03635657
555,0.03580512
556,0.03535157
557,0.03496598
558,0.03462481
559,0.03435022
560,0.03404111
561,0.03368067
562,0.03326412
563,0.03290001
564,0.032509
565,0.03101165
566,0.02804229
567,0.02420561
568,0.01993248
569,0.0155453
570,0.01127575
571,0.006926982
572,0.002849634
573,-0.0008932705
574,-0.00427
575,-0.00734408
576,-0.0100488
577,-0.01078645
578,-0.009593991
579,-0.007013409
580,-0.00356218
581,0.0003041474
582,0.004230852
583,0.008715376
584,0.01274409
585,0.01619061
586,0.01899926
587,0.02124518
588,0.02286228
589,0.02464593
590,0.02621674
591,0.02755264
592,0.02860796
593,0.02936029
594,0.0298121
595,0.02809844
596,0.02631134
597,0.02447136
598,0.02259898
599,0.0207033
600,0.0188012
601,0.01665966
602,0.014969
603,0.01354666
604,0.01240384
605,0.01155912
606,0.0110315
607,0.0125565
608,0.01447761
609,0.01677714
610,0.01944012
611,0.02249609
612,0.02589649
613,0.0279613
614,0.02787102
615,0.02645694
616,0.02426246
617,0.02168345
618,0.01901188
619,0.01391954
620,0.009408875
621,0.005545616
622,0.002350365
623,-0.0002134758
624,-0.002194893
625,-0.002362706
626,-0.001072473
627,0.001331362
628,0.004482123
629,0.008051453
630,0.01177771
631,0.01518123
632,0.01832534
633,0.02107953
634,0.02336996
635,0.02515913
636,0.02644322
637,0.02688025
638,0.02682333
639,0.02630742
640,0.02541436
641,0.02421788
642,0.02278353
643,0.02133463
644,0.01977428
645,0.01815432
646,0.01652883
647,0.01494224
648,0.01343945
649,0.01386892
650,0.01609085
651,0.01970417
652,0.02427027
653,0.02938413
654,0.03472135
655,0.04003797
656,0.04517925
657,0.0500378
658,0.0545461
659,0.05865939
660,0.06235385
661,0.06625733
662,0.06937326
663,0.07195378
664,0.07404906
665,0.07569007
666,0.07690764
667,0.07786414
668,0.07860056
669,0.07919475
670,0.07971448
671,0.08022232
672,0.08077361
673,0.08010401
674,0.08017887
675,0.08048329
676,0.08104999
677,0.08192603
678,0.08314689
679,0.08431257
680,0.0860167
681,0.08826005
682,0.09101348
683,0.09422218
684,0.0978161
685,0.09975991
686,0.09977263
687,0.09853081
688,0.09659766
689,0.09437972
690,0.09215077
691,0.08953919
692,0.08724781
693,0.08532453
694,0.0837804
695,0.08260833
696,0.08178844
697,0.08339123
698,0.08769967
699,0.0937997
700,0.1009208
701,0.1084274
702,0.1158449
703,0.1227087
704,0.1287666
705,0.133852
706,0.1378832
707,0.1408393
708,0.1427331
709,0.1424488
710,0.1401041
711,0.1362048
712,0.1311916
713,0.1254188
714,0.1191767
715,0.1128741
716,0.1066048
717,0.1006031
718,0.09506585
719,0.09016224
720,0.08601639
721,0.0815395
722,0.07655505
723,0.07146098
724,0.06663119
725,0.06233842
726,0.05874321
727,0.05613063
728,0.05426364
729,0.05309183
730,0.05253265
731,0.05248205
732,0.05282663
733,0.05547697
734,0.06019734
735,0.06619557
736,0.07278771
737,0.07942264
738,0.08570129
739,0.09127147
740,0.09594101
741,0.09957954
742,0.1021246
743,0.1035645
744,0.1039279
745,0.1009716
746,0.09391236
747,0.08417645
748,0.0727427
749,0.06033963
750,0.04754598
751,0.0347639
752,0.02264558
753,0.01165714
754,0.002180382
755,-0.005549632
756,-0.01147721
757,-0.0148272
758,-0.01575692
759,-0.01465488
760,-0.01198595
761,-0.008225336
762,-0.003817403
763,0.0008770254
764,0.005450375
765,0.009670351
766,0.01337971
767,0.01648083
768,0.01891276
769,0.02260256
770,0.02745969
771,0.0327677
772,0.03800192
773,0.0427854
774,0.04688032
775,0.04982109
776,0.0519058
777,0.0531224
778,0.05349363
779,0.05305834
780,0.05187017
781,0.04969003
782,0.04709519
783,0.04402335
784,0.04061139
785,0.03706328
786,0.03364345
787,0.03111052
788,0.02943691
789,0.02887383
790,0.02953345
791,0.03139334
792,0.03433261
793,0.03892642
794,0.042386
795,0.04549144
796,0.04849428
797,0.05151759
798,0.05459341
799,0.05780033
800,0.06108585
801,0.0644036
802,0.06768171
803,0.07083812
804,0.07380148
805,0.07996247
806,0.08932999
807,0.1005193
808,0.1124414
809,0.1242533
810,0.13539
811,0.1453016
812,0.154037
813,0.1614841
814,0.1676131
815,0.1724406
816,0.1760194
817,0.1751569
818,0.1706099
819,0.1631483
820,0.1536896
821,0.142956
822,0.1315552
823,0.1200386
824,0.1092795
825,0.09996933
826,0.09273428
827,0.08801428
828,0.08594309
829,0.08637033
830,0.08777531
831,0.09010744
832,0.09324584
833,0.09707112
834,0.1014227
835,0.1059879
836,0.1106231
837,0.1151629
838,0.1194687
839,0.1234308
840,0.126964
841,0.1302318
842,0.1339291
843,0.1375203
844,0.1406945
845,0.1432427
846,0.1450336
847,0.1452105
848,0.1445323
849,0.1429682
850,0.1405466
851,0.1373277
852,0.1334026
853,0.1283873
854,0.1219764
855,0.114718
856,0.1070218
857,0.09924648
858,0.0916989
859,0.08558487
860,0.08017907
861,0.0756373
862,0.07204481
863,0.06943573
864,0.06781988
865,0.07026705
866,0.07626111
867,0.08503029
868,0.09553306
869,0.1068626
870,0.1183347
871,0.1276909
872,0.1366057
873,0.1448217
874,0.1521512
875,0.1584424
876,0.1635927
877,0.1639471
878,0.1587861
879,0.1497462
880,0.1380501
881,0.1245629
882,0.1099406
883,0.09543644
884,0.08105326
885,0.06753312
886,0.05563918
887,0.04602372
888,0.03905118
889,0.03691665
890,0.03920672
891,0.04516372
892,0.05367402
893,0.06372497
894,0.07446084
895,0.08497068
896,0.09482928
897,0.1037054
898,0.1114269
899,0.1179195
900,0.1231604
901,0.1266532
902,0.1285358
903,0.1289894
904,0.1281796
905,0.1262552
906,0.1233525
907,0.119334
908,0.1145677
909,0.109194
910,0.103368
911,0.09725716
912,0.09104763
913,0.08408797
914,0.07578759
915,0.06695154
916,0.05819167
917,0.05002837
918,0.04286135
919,0.03846316
920,0.03547779
921,0.03373215
922,0.03307088
923,0.03338034
924,0.0345699
925,0.03648431
926,0.03922371
927,0.04246962
928,0.04599004
929,0.04959043
930,0.05311203
931,0.05434325
932,0.05545455
933,0.05632198
934,0.05685522
935,0.05698678
936,0.0566663
937,0.05811015
938,0.06094053
939,0.06452972
940,0.06836578
941,0.07206725
942,0.07539035
943,0.07802772
944,0.08007643
945,0.08153991
946,0.08244812
947,0.08284575
948,0.08279002
949,0.0810008
950,0.07713898
951,0.0718763
952,0.06579278
953,0.05941252
954,0.05320607
955,0.04825098
956,0.04431146
957,0.04162609
958,0.04028948
959,0.04027453
960,0.04146768
961,0.04374332
962,0.04673453
963,0.0503052
964,0.05428297
965,0.0584981
966,0.06278265
967,0.06635451
968,0.06978276
969,0.07295521
970,0.07578312
971,0.07819908
972,0.08015209
973,0.0847097
974,0.09302258
975,0.1032999
976,0.1143597
977,0.12531
978,0.1355577
979,0.1452435
980,0.1537369
981,0.1609355
982,0.1668103
983,0.1713962
984,0.1747586
985,0.1770157
986,0.1766148
987,0.1743716
988,0.1706661
989,0.165777
990,0.1599185
991,0.1519563
992,0.143725
993,0.136211
994,0.1307615
995,0.1267384
996,0.1248943
997,0.123226
998,0.1235028
999,0.1251936
1000,0.1282158
1001,0.1324008
1002,0.1375201
1003,0.1404385
1004,0.1443931
1005,0.1492282
1006,0.1547692
1007,0.1607868
1008,0.1670603
1009,0.1714245
1010,0.171919
1011,0.1700052
1012,0.16661
1013,0.1623152
1014,0.1574912
1015,0.1525494
1016,0.147384
1017,0.1421258
1018,0.1369044
1019,0.1318311
1020,0.1270109
1021,0.1245942
1022,0.1253015
1023,0.1281773
1024,0.1324537
1025,0.1374991
1026,0.1428398
1027,0.1478647
1028,0.1524158
1029,0.1563072
1030,0.1594405
1031,0.1617734
1032,0.1633021
1033,0.1639803
1034,0.1626865
1035,0.1601135
1036,0.1566249
1037,0.1525042
1038,0.1479662
1039,0.1439414
1040,0.1398521
1041,0.1358358
1042,0.1320157
1043,0.1285047
1044,0.125398
1045,0.123171
1046,0.1216764
1047,0.1209269
1048,0.1208072
1049,0.1211918
1050,0.121962
1051,0.1211464
1052,0.1207854
1053,0.120825
1054,0.1212019
1055,0.121824
1056,0.1226098
1057,0.1231794
1058,0.1245916
1059,0.1263535
1060,0.1282474
1061,0.1301109
1062,0.1318219
1063,0.1337205
1064,0.1352206
1065,0.1362784
1066,0.1368751
1067,0.1370219
1068,0.1367439
1069,0.1350327
1070,0.1324419
1071,0.1291243
1072,0.1253716
1073,0.1214413
1074,0.1175515
1075,0.1145871
1076,0.1119678
1077,0.1097889
1078,0.1081045
1079,0.1069448
1080,0.1063093
1081,0.1063747
1082,0.1068278
1083,0.1077089
1084,0.1089735
1085,0.110554
1086,0.1123735
1087,0.1137248
1088,0.115158
1089,0.116598
1090,0.1179824
1091,0.1192587
1092,0.1203754
1093,0.1235067
1094,0.129271
1095,0.1365389
1096,0.1444766
1097,0.1524401
1098,0.1599886
1099,0.1664088
1100,0.1719644
1101,0.1765622
1102,0.1801652
1103,0.1827721
1104,0.1844097
1105,0.1864762
1106,0.1881147
1107,0.1894806
1108,0.1904989
1109,0.1911318
1110,0.1913974
1111,0.1928391
1112,0.1942699
1113,0.1958641
1114,0.1977933
1115,0.2002362
1116,0.2032969
1117,0.2037995
1118,0.2013648
1119,0.1966141
1120,0.1906914
1121,0.1845339
1122,0.1788187
1123,0.1720457
1124,0.1666647
1125,0.1628188
1126,0.1605063
1127,0.1596221
1128,0.1600038
1129,0.1604652
1130,0.1612038
1131,0.1621374
1132,0.1632439
1133,0.1644552
1134,0.1656802
1135,0.1661393
1136,0.1664452
1137,0.1664771
