EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:35:35"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,CatchFleetGroup

Year,Fleet,Group,Value
1974,1,17,0.3385915
1974,1,18,0.9714036
1974,2,13,0.976657
1974,2,14,1.676735
1974,3,11,0.06197364
1974,3,12,0.6018199
1975,1,17,0.3385915
1975,1,18,0.9714036
1975,2,13,0.976657
1975,2,14,1.676735
1975,3,11,0.06197364
1975,3,12,0.6018199
1976,1,17,0.3385915
1976,1,18,0.9714036
1976,2,13,0.976657
1976,2,14,1.676735
1976,3,11,0.06197364
1976,3,12,0.6018199
1977,1,17,0.3385915
1977,1,18,0.9714036
1977,2,13,0.976657
1977,2,14,1.676735
1977,3,11,0.06197364
1977,3,12,0.6018199
1978,1,17,0.3385915
1978,1,18,0.9714036
1978,2,13,0.976657
1978,2,14,1.676735
1978,3,11,0.06197364
1978,3,12,0.6018199
1979,1,17,0.3385915
1979,1,18,0.9714036
1979,2,13,0.976657
1979,2,14,1.676735
1979,3,11,0.06197364
1979,3,12,0.6018199
1980,1,17,0.3385915
1980,1,18,0.9714036
1980,2,13,0.976657
1980,2,14,1.676735
1980,3,11,0.06197364
1980,3,12,0.6018199
1981,1,17,0.3385915
1981,1,18,0.9714036
1981,2,13,0.976657
1981,2,14,1.676735
1981,3,11,0.06197364
1981,3,12,0.6018199
1982,1,17,0.3385915
1982,1,18,0.9714036
1982,2,13,0.976657
1982,2,14,1.676735
1982,3,11,0.06197364
1982,3,12,0.6018199
1983,1,17,0.3385915
1983,1,18,0.9714036
1983,2,13,0.976657
1983,2,14,1.676735
1983,3,11,0.06197364
1983,3,12,0.6018199
1984,1,17,0.3385915
1984,1,18,0.9714036
1984,2,13,0.976657
1984,2,14,1.676735
1984,3,11,0.06197364
1984,3,12,0.6018199
1985,1,17,0.3385915
1985,1,18,0.9714036
1985,2,13,0.976657
1985,2,14,1.676735
1985,3,11,0.06197364
1985,3,12,0.6018199
1986,1,17,0.3385915
1986,1,18,0.9714036
1986,2,13,0.976657
1986,2,14,1.676735
1986,3,11,0.06197364
1986,3,12,0.6018199
1987,1,17,0.3385915
1987,1,18,0.9714036
1987,2,13,0.976657
1987,2,14,1.676735
1987,3,11,0.06197364
1987,3,12,0.6018199
1988,1,17,0.3385915
1988,1,18,0.9714036
1988,2,13,0.976657
1988,2,14,1.676735
1988,3,11,0.06197364
1988,3,12,0.6018199
1989,1,17,0.3385915
1989,1,18,0.9714036
1989,2,13,0.976657
1989,2,14,1.676735
1989,3,11,0.06197364
1989,3,12,0.6018199
1990,1,17,0.3385915
1990,1,18,0.9714036
1990,2,13,0.976657
1990,2,14,1.676735
1990,3,11,0.06197364
1990,3,12,0.6018199
1991,1,17,0.3385915
1991,1,18,0.9714036
1991,2,13,0.976657
1991,2,14,1.676735
1991,3,11,0.06197364
1991,3,12,0.6018199
1992,1,17,0.3385915
1992,1,18,0.9714036
1992,2,13,0.976657
1992,2,14,1.676735
1992,3,11,0.06197364
1992,3,12,0.6018199
1993,1,17,0.3385915
1993,1,18,0.9714036
1993,2,13,0.976657
1993,2,14,1.676735
1993,3,11,0.06197364
1993,3,12,0.6018199
1994,1,17,0.3385915
1994,1,18,0.9714036
1994,2,13,0.976657
1994,2,14,1.676735
1994,3,11,0.06197364
1994,3,12,0.6018199
1995,1,17,0.3385915
1995,1,18,0.9714036
1995,2,13,0.976657
1995,2,14,1.676735
1995,3,11,0.06197364
1995,3,12,0.6018199
1996,1,17,0.3385915
1996,1,18,0.9714036
1996,2,13,0.976657
1996,2,14,1.676735
1996,3,11,0.06197364
1996,3,12,0.6018199
1997,1,17,0.3385915
1997,1,18,0.9714036
1997,2,13,0.976657
1997,2,14,1.676735
1997,3,11,0.06197364
1997,3,12,0.6018199
1998,1,17,0.3385915
1998,1,18,0.9714036
1998,2,13,0.976657
1998,2,14,1.676735
1998,3,11,0.06197364
1998,3,12,0.6018199
1999,1,17,0.3385915
1999,1,18,0.9714036
1999,2,13,0.976657
1999,2,14,1.676735
1999,3,11,0.06197364
1999,3,12,0.6018199
2000,1,17,0.3385915
2000,1,18,0.9714036
2000,2,13,0.976657
2000,2,14,1.676735
2000,3,11,0.06197364
2000,3,12,0.6018199
2001,1,17,0.3385915
2001,1,18,0.9714036
2001,2,13,0.976657
2001,2,14,1.676735
2001,3,11,0.06197364
2001,3,12,0.6018199
2002,1,17,0.3385915
2002,1,18,0.9714036
2002,2,13,0.976657
2002,2,14,1.676735
2002,3,11,0.06197364
2002,3,12,0.6018199
2003,1,17,0.3385915
2003,1,18,0.9714036
2003,2,13,0.976657
2003,2,14,1.676735
2003,3,11,0.06197364
2003,3,12,0.6018199
2004,1,17,0.3385915
2004,1,18,0.9714036
2004,2,13,0.976657
2004,2,14,1.676735
2004,3,11,0.06197364
2004,3,12,0.6018199
2005,1,17,0.3385915
2005,1,18,0.9714036
2005,2,13,0.976657
2005,2,14,1.676735
2005,3,11,0.06197364
2005,3,12,0.6018199
2006,1,17,0.3385915
2006,1,18,0.9714036
2006,2,13,0.976657
2006,2,14,1.676735
2006,3,11,0.06197364
2006,3,12,0.6018199
2007,1,17,0.3385915
2007,1,18,0.9714036
2007,2,13,0.976657
2007,2,14,1.676735
2007,3,11,0.06197364
2007,3,12,0.6018199
2008,1,17,0.3385915
2008,1,18,0.9714036
2008,2,13,0.976657
2008,2,14,1.676735
2008,3,11,0.06197364
2008,3,12,0.6018199
2009,1,17,0.3385915
2009,1,18,0.9714036
2009,2,13,0.976657
2009,2,14,1.676735
2009,3,11,0.06197364
2009,3,12,0.6018199
2010,1,17,0.3385915
2010,1,18,0.9714036
2010,2,13,0.976657
2010,2,14,1.676735
2010,3,11,0.06197364
2010,3,12,0.6018199
2011,1,17,0.3385915
2011,1,18,0.9714036
2011,2,13,0.976657
2011,2,14,1.676735
2011,3,11,0.06197364
2011,3,12,0.6018199
2012,1,17,0.3385915
2012,1,18,0.9714036
2012,2,13,0.976657
2012,2,14,1.676735
2012,3,11,0.06197364
2012,3,12,0.6018199
