EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:34"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,CatchFleetGroup

Year,Fleet,Group,Value
2096,3,11,0.06197362
2096,3,12,0.6018198
2097,1,17,0.3385916
2097,1,18,0.9714038
2097,2,13,0.976657
2097,2,14,1.676735
2097,3,11,0.06197362
2097,3,12,0.6018198
2098,1,17,0.3385916
2098,1,18,0.9714038
2098,2,13,0.976657
2098,2,14,1.676735
2098,3,11,0.06197362
2098,3,12,0.6018198
